Tickers,Stock Price,Market Capitalization,Number of Stocks to Buy
A,118.07,36018953515,16
AAL,17.1,10051267580,115
AAP,154.86,10819428048,12
AAPL,125.69,2119754820719,15
ABBV,109.58,194093736441,18
ABC,105.97,21162529723,18
ABMD,285.15,12757191056,6
ABT,108.8,200269380731,18
ACN,262.67,171219593341,7
ADBE,508.0,238065790313,3
ADI,148.09,53997138590,13
ADM,52.16,28295198005,37
ADP,177.14,76310120663,11
ADSK,281.0,61806771148,7
AEE,77.5,19095927402,25
AEP,86.97,42987954153,22
AES,21.18,14556563174,93
AFL,46.92,32869508082,42
AIG,41.06,35771042161,48
AIV,41.65,6234004476,47
AIZ,139.11,7821043595,14
AJG,120.09,23047056293,16
AKAM,107.37,17668127204,18
ALB,143.32,15280912498,13
ALGN,534.89,43089966171,3
ALK,54.38,6590953165,36
ALL,108.65,32626686252,18
ALLE,118.69,11064564720,16
ALXN,122.06,27178918921,16
AMAT,89.72,82402463194,22
AMCR,11.61,18446300887,170
AMD,95.33,117305005735,20
AME,122.06,28047837690,16
AMGN,235.73,133744647121,8
AMP,199.27,23635244393,9
AMT,231.71,105350763538,8
AMZN,3288.64,1646113060829,0
ANET,282.68,20731994911,7
ANSS,348.77,30559940112,5
ANTM,330.3,82399799661,5
AON,221.6,49378568954,8
AOS,55.65,7505562184,35
APA,15.27,6006923492,129
APD,283.24,62128791881,6
APH,133.63,41641165820,14
APTV,123.77,34319228129,15
ARE,178.44,24098644719,11
ATO,100.75,12386964834,19
ATVI,81.62,65436730482,24
AVB,182.39,24667114303,10
AVGO,430.8,170061435049,4
AVY,157.58,12910458850,12
AWK,154.3,27179033599,12
AXP,126.97,100780796491,15
AZO,1188.02,27282488408,1
BA,242.78,136576427545,8
BAC,30.31,260796996515,65
BAX,79.0,41325559289,25
BBY,110.32,28087878714,17
BDX,248.21,70710347149,7
BEN,24.8,12494864409,79
BF.B,83.09,37921475215,23
BIIB,251.55,39563896372,7
BIO,579.3,17004012366,3
BK,41.27,37432561414,47
BKNG,2227.91,87726894342,0
BKR,21.92,15431405042,90
BLK,705.19,108843231731,2
BLL,94.49,31534625288,20
BMY,64.43,145698545237,30
BR,153.08,18111530045,12
BRK.B,237.92,567749307419,8
BSX,35.08,49851161704,56
BWA,41.84,10224617096,47
BXP,107.83,16869977729,18
C,60.77,124096973772,32
CAG,36.01,17760095276,54
CAH,57.13,16900484992,34
CARR,39.1,34047438999,50
CAT,182.94,102310681190,10
CB,160.52,72649297545,12
CBOE,96.06,10182661377,20
CBRE,66.75,22341389529,29
CCI,164.4,73796971307,12
CCL,24.22,17209241788,81
CDNS,119.34,34243698770,16
CDW,133.7,20043211299,14
CE,137.85,15664492689,14
CERN,76.47,23054317033,25
CF,39.99,8837691618,49
CFG,36.48,15481114737,54
CHD,87.08,21966055331,22
CHRW,93.27,12827018024,21
CHTR,702.29,137301153629,2
CI,225.91,80008533993,8
CINF,85.18,13700229336,23
CL,85.54,72936224967,23
CLX,207.13,26432668656,9
CMA,56.23,7892952544,35
CMCSA,54.17,242976400640,36
CME,191.83,68039927579,10
CMG,1346.59,38015493873,1
CMI,226.92,33800553337,8
CMS,59.96,17543488337,33
CNC,65.1,38508310842,30
CNP,23.09,12603592038,85
COF,93.7,43579151130,21
COG,16.48,6674311223,120
COO,354.69,18522516271,5
COP,44.42,49788635368,44
COST,379.5,171736032075,5
COTY,7.75,6012427265,255
CPB,48.8,15104413588,40
CPRT,117.67,27178386053,16
CRM,226.45,209505778892,8
CSCO,45.42,193625297426,43
CSX,94.82,72686257222,20
CTAS,379.1,39765978961,5
CTL,11.0,12193370123,180
CTSH,83.22,43873342598,23
CTVA,38.8,29863881657,51
CTXS,136.02,16193920128,14
CVS,76.5,100320957256,25
CVX,93.58,182509455465,21
CXO,66.66,13218458117,29
D,76.64,63654450580,25
DAL,43.05,27166950172,45
DD,68.55,49373652185,28
DE,255.86,80589382025,7
DFS,84.2,25915430248,23
DG,221.79,52346352966,8
DGX,127.88,17039638755,15
DHI,72.13,26970652749,27
DHR,232.99,161185465067,8
DIS,158.85,289624841291,12
DISCA,28.54,13566940927,69
DISCK,25.82,13287703854,76
DISH,37.65,10514303955,52
DLR,138.45,38495495576,14
DLTR,114.86,26957327150,17
DOV,124.54,18417658442,15
DOW,56.92,41359818433,34
DPZ,399.97,15707918838,4
DRE,39.81,14970613698,49
DRI,119.43,15549216694,16
DTE,126.65,24791787801,15
DUK,91.68,69110865511,21
DVA,113.7,12273453404,17
DVN,16.93,6451888879,116
DXC,25.24,6603047410,78
DXCM,359.65,33956852081,5
EA,132.78,38016774635,14
EBAY,51.76,36080438077,38
ECL,233.58,66264593147,8
ED,77.97,25772212402,25
EFX,172.6,20565991275,11
EIX,64.03,24345101827,30
EL,255.49,55771259513,7
EMN,106.1,14497952237,18
EMR,83.8,48893939867,23
EOG,53.0,31988994004,37
EQIX,740.3,65569814715,2
EQR,65.47,24405285316,30
ES,86.02,30494567446,23
ESS,258.58,17091227880,7
ETFC,51.64,11153268400,38
ETN,120.31,48608959855,16
ETR,109.91,22026384358,18
EVRG,56.12,12774872745,35
EW,86.78,55465851838,22
